Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
volltanken,tanke voll,tankst voll,tankt voll,tankte voll,vollgetankt,tankte voll,tank voll,tankt voll,haben
brunchen,brunche,brunchst,bruncht,brunchte,gebruncht,brunchte,brunch,bruncht,haben
kalkulieren,kalkuliere,kalkulierst,kalkuliert,kalkulierte,kalkuliert,kalkulierte,kalkulier,kalkuliert,haben
liebbehalten,behalte lieb,behältst lieb,behält lieb,behielt lieb,liebbehalten,behielte lieb,behalte lieb,behaltet lieb,haben
lieb behalten,behalte lieb,behältst lieb,behält lieb,behielt lieb,lieb behalten,behielte lieb,behalte lieb,behaltet lieb,haben
auftischen,tische auf,tischst auf,tischt auf,tischte auf,aufgetischt,tischte auf,tisch auf,tischt auf,haben
antun,tue an,tust an,tut an,tat an,angetan,täte an,tu an,tut an,haben
klassifizieren,klassifiziere,klassifizierst,klassifiziert,klassifizierte,klassifiziert,klassifizierte,klassifiziere,klassifiziert,haben
eindosen,dose ein,dost ein,dost ein,doste ein,eingedost,doste ein,dos ein,dost ein,haben
aufschneiden,schneide auf,schneidest auf,schneidet auf,schnitt auf,aufgeschnitten,schnitte auf,schneide auf,schneidet auf,haben
wankeln,wankele,wankelst,wankelt,wankelte,gewankelt,wankelte,wankele,wankelt,haben
überziehen,ziehe über,ziehst über,zieht über,zog über,übergezogen,zöge über,zieh über,zieht über,haben
heimleuchten,leuchte heim,leuchtest heim,leuchtet heim,leuchtete heim,heimgeleuchtet,leuchtete heim,leucht heim,leuchtet heim,haben
filibustern,filibustere,filibusterst,filibustert,filibusterte,filibustert,filibusterte,filibustere,filibustert,haben
anschalten,schalte an,schaltest an,schaltet an,schaltete an,angeschaltet,schaltete an,schalt an,schaltet an,haben
überragen,überrage,überragst,überragt,überragte,überragt,überragte,überrag,überragt,haben
überbacken,überbacke,überbackst,überbackt,überbackte,überbacken,überbackte,überback,überbackt,haben
schluchzen,schluchze,schluchzt,schluchzt,schluchzte,geschluchzt,schluchzte,schluchz,schluchzt,haben
begrenzen,begrenze,begrenzt,begrenzt,begrenzte,begrenzt,begrenzte,begrenze,begrenzt,haben
begleichen,begleiche,begleichst,begleicht,beglich,beglichen,begliche,begleiche,begleicht,haben
belangen,belange,belangst,belangt,belangte,belangt,belangte,belange,belangt,haben
nachhaken,hake nach,hakst nach,hakt nach,hakte nach,nachgehakt,hakte nach,hak nach,hakt nach,haben
entrichten,entrichte,entrichtest,entrichtet,entrichtete,entrichtet,entrichtete,entricht,entrichtet,haben
balgen,balge,balgst,balgt,balgte,gebalgt,balgte,balg,balgt,haben
umgarnen,umgarne,umgarnst,umgarnt,umgarnte,umgarnt,umgarnte,umgarn,umgarnt,haben
überrunden,überrunde,überrundest,überrundet,überrundete,überrundet,überrundete,überrunde,überrundet,haben
vorturnen,turne vor,turnst vor,turnt vor,turnte vor,vorgeturnt,turnte vor,turn vor,turnt vor,haben
ratzen,ratze,ratzt,ratzt,ratzte,geratzt,ratzte,ratz,ratzt,haben
verdreschen,verdresche,verdrischst,verdrischt,verdrosch,verdroschen,verdrösche,verdrisch,verdrescht,haben
wappnen,wappne,wappnest,wappnet,wappnete,gewappnet,wappnete,wappne,wappnet,haben
bibliografieren,bibliografiere,bibliografierst,bibliografiert,bibliografierte,bibliografiert,bibliografierte,bibliografiere,bibliografiert,haben
appropriieren,appropriiere,appropriierst,appropriiert,appropriierte,appropriiert,appropriierte,appropriier,appropriiert,haben
vorlassen,lasse vor,lässt vor,lässt vor,ließ vor,vorgelassen,ließe vor,lass vor,lasst vor,haben
erbauen,erbaue,erbaust,erbaut,erbaute,erbaut,erbaute,erbaue,erbaut,haben
bewirten,bewirte,bewirtest,bewirtet,bewirtete,bewirtet,bewirtete,bewirte,bewirtet,haben
ähnlichsehen,—,—,sieht ähnlich,sah ähnlich,ähnlichgesehen,sähe ähnlich,—,—,haben
degustieren,degustiere,degustierst,degustiert,degustierte,degustiert,degustierte,degustier,degustiert,haben
gustieren,gustiere,gustierst,gustiert,gustierte,gustiert,gustierte,gustier,gustiert,haben
abwürgen,würge ab,würgst ab,würgt ab,würgte ab,abgewürgt,würgte ab,würge ab,würgt ab,haben
chippen,chippe,chippst,chippt,chippte,gechippt,chippte,chippe,chippt,haben
preisgeben,gebe preis,gibst preis,gibt preis,gab preis,preisgegeben,gäbe preis,gib preis,gebt preis,haben
entzweibrechen,breche entzwei,brichst entzwei,bricht entzwei,brach entzwei,entzweigebrochen,bräche entzwei,brich entzwei,brecht entzwei,haben
verzupfen,verzupfe,verzupfst,verzupft,verzupfte,verzupft,verzupfte,verzupf,verzupft,haben
verlupfen,verlupfe,verlupfst,verlupft,verlupfte,verlupft,verlupfte,verlupf,verlupft,haben
verheben,verhebe,verhebst,verhebt,verhob,verhoben,verhöbe,verheb,verhebt,haben
verleiden,verleide,verleidest,verleidet,verleidete,verleidet,verleidete,verleide,verleidet,haben
verduften,verdufte,verduftest,verduftet,verduftete,verduftet,verduftete,verduft,verduftet,haben
einigeln,igle ein,igelst ein,igelt ein,igelte ein,eingeigelt,igelte ein,igle ein,igelt ein,haben
verblenden,verblende,verblendest,verblendet,verblendete,verblendet,verblendete,verblend,verblendet,haben
verkorksen,verkorkse,verkorkst,verkorkst,verkorkste,verkorkst,verkorkste,verkorks,verkorkst,haben
verjüngen,verjünge,verjüngst,verjüngt,verjüngte,verjüngt,verjüngte,verjünge,verjüngt,haben
widersetzen,widersetze,widersetzt,widersetzt,widersetzte,widersetzt,widersetzte,widersetze,widersetzt,haben
ausantworten,antworte aus,antwortest aus,antwortet aus,antwortete aus,ausgeantwortet,antwortete aus,antworte aus,antwortet aus,haben
beiwohnen,wohne bei,wohnst bei,wohnt bei,wohnte bei,beigewohnt,wohnte bei,wohn bei,wohnt bei,haben
verkorken,verkorke,verkorkst,verkorkt,verkorkte,verkorkt,verkorkte,verkork,verkorkt,"haben
<!-- |Hilfsverb*=sein -->"
ausstopfen,stopfe aus,stopfst aus,stopft aus,stopfte aus,ausgestopft,stopfte aus,stopf aus,stopft aus,haben
muffeln,muffle,muffelst,muffelt,muffelte,gemuffelt,muffelte,muffle,muffelt,haben
verschimmeln,verschimmele,verschimmelst,verschimmelt,verschimmelte,verschimmelt,verschimmelte,verschimmele,verschimmelt,haben
schimmeln,schimmele,schimmelst,schimmelt,schimmelte,geschimmelt,schimmelte,schimmele,schimmelt,haben
vergraben,vergrabe,vergräbst,vergräbt,vergrub,vergraben,vergrübe,vergrabe,vergrabt,haben
abklatschen,klatsche ab,klatschst ab,klatscht ab,klatschte ab,abgeklatscht,klatschte ab,klatsch ab,klatscht ab,haben
konspektieren,konspektiere,konspektierst,konspektiert,konspektierte,konspektiert,konspektierte,konspektier,konspektiert,haben
ehebrechen,ehebreche,ehebrichst,ehebricht,—,ehegebrochen,—,—,—,haben
hüllen,hülle,hüllst,hüllt,hüllte,gehüllt,hüllte,hülle,hüllt,haben
aufschreiben,schreibe auf,schreibst auf,schreibt auf,schrieb auf,aufgeschrieben,schriebe auf,schreib auf,schreibt auf,haben
pusseln,pussle,pusselst,pusselt,pusselte,gepusselt,pusselte,pussel,pusselt,haben
tremolieren,tremoliere,tremolierst,tremoliert,tremolierte,tremoliert,tremolierte,tremoliere,tremoliert,haben
suggeln,suggel,suggelst,suggelt,suggelte,gesuggelt,suggelte,suggel,suggelt,haben
voranbringen,bringe voran,bringst voran,bringt voran,brachte voran,vorangebracht,brächte voran,bring voran,bringt voran,haben
verlottern,verlottere,verlotterst,verlottert,verlotterte,verlottert,verlotterte,verlotter,verlottert,sein
darniederliegen,liege darnieder,liegst darnieder,liegt darnieder,lag darnieder,darniedergelegen,läge darnieder,lieg darnieder,liegt darnieder,haben
grämen,gräme,grämst,grämt,grämte,gegrämt,grämte,gräme,grämt,haben
abprotzen,protze ab,protzt ab,protzt ab,protzte ab,abgeprotzt,protzte ab,protz ab,protzt ab,haben
stiefeln,stiefle,stiefelst,stiefelt,stiefelte,gestiefelt,stiefelte,stiefle,stiefelt,sein
flashen,flashe,flashst,flasht,flashte,geflasht,flashte,flash,flasht,haben
flehmen,flehme,flehmst,flehmt,flehmte,geflehmt,flehmte,flehm,flehmt,haben
kalmieren,kalmiere,kalmierst,kalmiert,kalmierte,kalmiert,kalmierte,kalmiere,kalmiert,haben
verkopfen,verkopfe,verkopfst,verkopft,verkopfte,verkopft,verkopfte,verkopf,verkopft,haben
abtauchen,tauche ab,tauchst ab,taucht ab,tauchte ab,abgetaucht,tauchte  ab,tauch ab,taucht ab,sein
bowlen,bowle,bowlst,bowlt,bowlte,gebowlt,bowlte,bowl,bowlt,haben
daheimbleiben,bleibe daheim,bleibst daheim,bleibt daheim,blieb daheim,daheimgeblieben,bliebe daheim,bleib daheim,bleibt daheim,sein
demonstrieren,demonstriere,demonstrierst,demonstriert,demonstrierte,demonstriert,demonstrierte,demonstrier,demonstriert,haben
doppelklicken,doppelklicke,doppelklickst,doppelklickt,doppelklickte,doppelgeklickt,doppelklickte,doppelklicke,doppelklickt,haben
durchregieren,regiere durch,regierst durch,regiert durch,regierte durch,durchregiert,regierte durch,regier durch,regiert durch,haben
verstümmeln,verstümmele,verstümmelst,verstümmelt,verstümmelte,verstümmelt,verstümmelte,verstümmele,verstümmelt,haben
andicken,dicke an,dickst an,dickt an,dickte an,angedickt,dickte an,dicke an,dickt an,haben
habitualisieren,habitualisiere,habitualisierst,habitualisiert,habitualisierte,habitualisiert,habitualisierte,habitualisier,habitualisiert,haben
substanziieren,substanziiere,substanziierst,substanziiert,substanziierte,substanziiert,substanziierte,substanziier,substanziiert,haben
parzellieren,parzelliere,parzellierst,parzelliert,parzellierte,parzelliert,parzellierte,parzelliere,parzelliert,haben
inhaftieren,inhaftiere,inhaftierst,inhaftiert,inhaftierte,inhaftiert,inhaftierte,inhaftiere,inhaftiert,haben
aufarbeiten,arbeite auf,arbeitest auf,arbeitet auf,arbeitete auf,aufgearbeitet,arbeitete auf,arbeite auf,arbeitet auf,haben
ersaufen,ersaufe,ersäufst,ersäuft,ersoff,ersoffen,ersöffe,ersaufe,ersauft,sein
ellbögeln,ellbögle,ellbögelst,ellbögelt,ellbögelte,geellbögelt,ellbögelte,ellbögle,ellbögelt,haben
muffen,muffe,muffst,mufft,muffte,gemufft,muffte,muff,mufft,haben
grünen,grüne,grünst,grünt,grünte,gegrünt,grünte,grüne,grünt,haben
totschweigen,schweige tot,schweigst tot,schweigt tot,schwieg tot,totgeschwiegen,schwiege tot,schweig tot,schweigt tot,haben
teleportieren,teleportiere,teleportierst,teleportiert,teleportierte,teleportiert,teleportierte,teleportiere,teleportiert,haben
netzwerken,netzwerke,netzwerkst,netzwerkt,netzwerkte,genetzwerkt,netzwerkte,netzwerke,netzwerkt,haben
mediatisieren,mediatisiere,mediatisierst,mediatisiert,mediatisierte,mediatisiert,mediatisierte,mediatisiere,mediatisiert,haben
stillstehen,stehe still,stehst still,steht still,stand still,stillgestanden,stände still,steh still,steht still,haben
uraufführen,uraufführe,uraufführst,uraufführt,uraufführte,uraufgeführt,uraufführte,uraufführ,uraufführt,haben
abknutschen,knutsche ab,knutschst ab,knutscht ab,knutschte ab,abgeknutscht,knutschte ab,knutsche ab,knutscht ab,haben
busseln,bussle,busselst,busselt,busselte,gebusselt,busselte,bussle,busselt,haben
abküssen,küsse ab,küsst ab,küsst ab,küsste ab,abgeküsst,küsste ab,küss ab,küsst ab,haben
eincremen,creme ein,cremst ein,cremt ein,cremte ein,eingecremt,cremte ein,crem ein,cremt ein,haben
verlautern,verlautere,verlauterst,verlautert,verlauterte,verlautert,verlauterte,verlautere,verlautert,haben
verleisern,verleisere,verleiserst,verleisert,verleiserte,verleisert,verleiserte,verleisere,verleisert,haben
verfliegen,verfliege,verfliegst,verfliegt,verflog,verflogen,verflöge,verflieg,verfliegt,haben
treideln,treidele,treidelst,treidelt,treidelte,getreidelt,treidelte,treidle,treidelt,haben
einbrocken,brocke ein,brockst ein,brockt ein,brockte ein,eingebrockt,brockte ein,brock ein,brockt ein,haben
durchmachen,mache durch,machst durch,macht durch,machte durch,durchgemacht,machte durch,mach durch,macht durch,haben
schocken,schocke,schockst,schockt,schockte,geschockt,schockte,schocke,schockt,haben
durchgehen,gehe durch,gehst durch,geht durch,ging durch,durchgegangen,ginge durch,geh durch,geht durch,sein
intermittieren,intermittiere,intermittierst,intermittiert,intermittierte,intermittiert,intermittierte,intermittier,intermittiert,haben
staubsaugen,staubsauge,staubsaugst,staubsaugt,staubsaugte,gestaubsaugt,staubsaugte,staubsauge,staubsaugt,haben
interponieren,interponiere,interponierst,interponiert,interponierte,interponiert,interponierte,interponier,interponiert,haben
interpungieren,interpungiere,interpungierst,interpungiert,interpungierte,interpungiert,interpungierte,interpungier,interpungiert,haben
interpunktieren,interpunktiere,interpunktierst,interpunktiert,interpunktierte,interpunktiert,interpunktierte,interpunktier,interpunktiert,haben
einsparen,spare ein,sparst ein,spart ein,sparte ein,eingespart,sparte ein,spar ein,spart ein,haben
abführen,führe ab,führst ab,führt ab,führte ab,abgeführt,führte ab,führ ab,führt ab,haben
gutheißen,heiße gut,heißt gut,heißt gut,hieß gut,gutgeheißen,hieße gut,heiß gut,heißt gut,haben
anbrennen,brenne an,brennst an,brennt an,brannte an,angebrannt,brennte an,brenn an,brennt an,haben
wichtigmachen,mache wichtig,machst wichtig,macht wichtig,machte wichtig,wichtiggemacht,machte wichtig,mach wichtig,macht wichtig,haben
wiedereröffnen,eröffne wieder,eröffnest wieder,eröffnet wieder,eröffnete wieder,wiedereröffnet,eröffnete wieder,eröffne wieder,eröffnet wieder,haben
fluktuieren,fluktuiere,fluktuierst,fluktuiert,fluktuierte,fluktuiert,fluktuierte,fluktuiere,fluktuiert,haben
klönen,klöne,klönst,klönt,klönte,geklönt,klönte,klöne,klönt,haben
zugrunde liegen,liege zugrunde,liegst zugrunde,liegt zugrunde,lag zugrunde,zugrunde gelegen,läge zugrunde,lieg zugrunde,liegt zugrunde,haben
zu Grunde liegen,liege zu Grunde,liegst zu Grunde,liegt zu Grunde,lag zu Grunde,zu Grunde gelegen,läge zu Grunde,lieg zu Grunde,liegt zu Grunde,haben
bedachen,bedache,bedachst,bedacht,bedachte,bedacht,bedachte,bedache,bedacht,haben
erbarmen,erbarme,erbarmst,erbarmt,erbarmte,erbarmt,erbarmte,erbarm,erbarmt,haben
frommen,—,—,frommt,frommte,gefrommt,frommte,—,—,haben
eintunken,tunke ein,tunkst ein,tunkt ein,tunkte ein,eingetunkt,tunkte ein,tunk ein,tunkt ein,haben
drausbringen,bringe draus,bringst draus,bringt draus,brachte draus,drausgebracht,brächte draus,bring draus,bringt draus,haben
eintauchen,tauche ein,tauchst ein,taucht ein,tauchte ein,eingetaucht,tauchte ein,tauch ein,taucht ein,haben
strammstehen,stehe stramm,stehst stramm,steht stramm,stand stramm,strammgestanden,stände stramm,steh stramm,steht stramm,haben
anstimmen,stimme an,stimmst an,stimmt an,stimmte an,angestimmt,stimmte an,stimm an,stimmt an,haben
aufpudeln,pudle auf,pudelst auf,pudelt auf,pudelte auf,aufgepudelt,pudelte auf,pudle auf,pudelt auf,haben
statuieren,statuiere,statuierst,statuiert,statuierte,statuiert,statuierte,statuiere,statuiert,haben
nötigen,nötige,nötigst,nötigt,nötigte,genötigt,nötigte,nötige,nötigt,haben
politisieren,politisiere,politisierst,politisiert,politisierte,politisiert,politisierte,politisiere,politisiert,haben
törggelen,törggele,törggelst,törggelt,törggelte,getörggelt,törggelte,törggele,törggelt,haben
schockieren,schockiere,schockierst,schockiert,schockierte,schockiert,schockierte,schockier,schockiert,haben
standhalten,halte stand,hältst stand,hält stand,hielt stand,standgehalten,hielte stand,halt stand,haltet stand,haben
komplizieren,kompliziere,komplizierst,kompliziert,komplizierte,kompliziert,komplizierte,kompliziere,kompliziert,haben
losschlagen,schlage los,schlägst los,schlägt los,schlug los,losgeschlagen,schlüge los,schlag los,schlagt los,haben
tröten,tröte,trötest,trötet,trötete,getrötet,trötete,tröte,trötet,haben
überhandnehmen,—,—,nimmt überhand,nahm überhand,überhandgenommen,nähme überhand,—,—,haben
fauchen,fauche,fauchst,faucht,fauchte,gefaucht,fauchte,fauch,faucht,haben
diskriminieren,diskriminiere,diskriminierst,diskriminiert,diskriminierte,diskriminiert,diskriminierte,diskriminiere,diskriminiert,haben
sympathisieren,sympathisiere,sympathisierst,sympathisiert,sympathisierte,sympathisiert,sympathisierte,sympathisier,sympathisiert,haben
ausgraben,grabe aus,gräbst aus,gräbt aus,grub aus,ausgegraben,grübe aus,grab aus,grabt aus,haben
abschmettern,schmettere ab,schmetterst ab,schmettert ab,schmetterte ab,abgeschmettert,schmetterte ab,schmetter ab,schmettert ab,haben
abwandern,wandere ab,wanderst ab,wandert ab,wanderte ab,abgewandert,wanderte ab,wandere ab,wandert ab,sein
anpissen,pisse an,pisst an,pisst an,pisste an,angepisst,pisste an,piss an,pisst an,haben
frosten,froste,frostest,frostet,frostete,gefrostet,frostete,froste,frostet,haben
tiefkühlen,—,—,—,—,tiefgekühlt,—,—,—,haben
zollen,zolle,zollst,zollt,zollte,gezollt,zollte,zolle,zollt,haben
begöschen,begösche,begöschst,begöscht,begöschte,begöscht,begöschte,begösche,begöscht,haben
verfahren,verfahre,verfährst,verfährt,verfuhr,verfahren,verführe,verfahre,verfahrt,haben
anmaßen,maße an,maßt an,maßt an,maßte an,angemaßt,maßte an,maß an,maßt an,haben
anstreichen,streiche an,streichst an,streicht an,strich an,angestrichen,striche an,streich an,streicht an,haben
wegklicken,klicke weg,klickst weg,klickt weg,klickte weg,weggeklickt,klickte weg,klick weg,klickt weg,haben
wiedererkennen,erkenne wieder,erkennst wieder,erkennt wieder,erkannte wieder,wiedererkannt,erkennte wieder,erkenn wieder,erkennt wieder,haben
knien,knie,kniest,kniet,kniete,gekniet,kniete,knie,kniet,haben
anhäufen,häufe an,häufst an,häuft an,häufte an,angehäuft,häufte an,häuf an,häuft an,haben
aufliefern,liefere auf,lieferst auf,liefert auf,lieferte auf,aufgeliefert,lieferte auf,liefere auf,liefert auf,haben
fallieren,falliere,fallierst,falliert,fallierte,falliert,fallierte,falliere,falliert,haben
fehlinterpretieren,interpretiere fehl,interpretierst fehl,interpretiert fehl,interpretierte fehl,fehlinterpretiert,interpretierte fehl,interpretiere fehl,interpretiert fehl,haben
versaubeuteln,versaubeutle,versaubeutelst,versaubeutelt,versaubeutelte,versaubeutelt,versaubeutelte,versaubeutel,versaubeutelt,haben
verschlucken,verschlucke,verschluckst,verschluckt,verschluckte,verschluckt,verschluckte,verschluck,verschluckt,haben
outen,oute,outest,outet,outete,geoutet,outete,out,outet,haben
verfehlen,verfehle,verfehlst,verfehlt,verfehlte,verfehlt,verfehlte,verfehl,verfehlt,haben
bescheinigen,bescheinige,bescheinigst,bescheinigt,bescheinigte,bescheinigt,bescheinigte,bescheinig,bescheinigt,haben
brabbeln,brabbel,brabbelst,brabbelt,brabbelte,gebrabbelt,brabbelte,brabbel,brabbelt,haben
einflößen,flöße ein,flößt ein,flößt ein,flößte ein,eingeflößt,flößte ein,flöße ein,flößt ein,haben
aufscheinen,scheine auf,scheinst auf,scheint auf,schien auf,aufgeschienen,schiene auf,schein auf,scheint auf,sein
aufblitzen,-,-,blitzt auf,blitzte auf,aufgeblitzt,blitzte auf,—,—,haben
getrauen,getraue,getraust,getraut,getraute,getraut,getraute,getrau,getraut,haben
verwerfen,verwerfe,verwirfst,verwirft,verwarf,verworfen,verwürfe,verwirf,verwerft,haben
sülzen,sülze,sülzt,sülzt,sülzte,gesülzt,sülzte,sülz,sülzt,haben
faschieren,faschiere,faschierst,faschiert,faschierte,faschiert,faschierte,faschiere,faschiert,haben
strippen,strippe,strippst,strippt,strippte,gestrippt,strippte,strippe,strippt,haben
vonstattengehen,gehe vonstatten,gehst vonstatten,geht vonstatten,ging vonstatten,vonstattengegangen,ginge vonstatten,geh vonstatten,geht vonstatten,sein
europäisieren,europäisiere,europäisierst,europäisiert,europäisierte,europäisiert,europäisierte,europäisier,europäisiert,haben
mitwirken,wirke mit,wirkst mit,wirkt mit,wirkte mit,mitgewirkt,wirkte mit,wirk mit,wirkt mit,haben
tottrampeln,trample tot,trampelst tot,trampelt tot,trampelte tot,totgetrampelt,trampelte tot,trample tot,trampelt tot,haben
verabsolutieren,verabsolutiere,verabsolutierst,verabsolutiert,verabsolutierte,verabsolutiert,verabsolutierte,verabsolutier,verabsolutiert,haben
bonitieren,bonitiere,bonitierst,bonitiert,bonitierte,bonitiert,bonitierte,bonitiere,bonitiert,haben
piercen,pierce,pierct,pierct,piercte,gepierct,piercte,pierce,pierct,haben
kontrastieren,kontrastiere,kontrastierst,kontrastiert,kontrastierte,kontrastiert,kontrastierte,kontrastiere,kontrastiert,haben
unieren,uniere,unierst,uniert,unierte,uniert,unierte,unier,uniert,haben
zusammentrommeln,trommle zusammen,trommelst zusammen,trommelt zusammen,trommelte zusammen,zusammengetrommelt,trommelte zusammen,trommle zusammen,trommelt zusammen,haben
hinterlaufen,hinterlaufe,hinterläufst,hinterläuft,hinterlief,hinterlaufen,hinterliefe,hinterlauf,hinterlauft,haben
einschläfern,schläfere ein,schläferst ein,schläfert ein,schläferte ein,eingeschläfert,schläferte ein,schläfer ein,schläfert ein,haben
beleuchten,beleuchte,beleuchtest,beleuchtet,beleuchtete,beleuchtet,beleuchtete,beleuchte,beleuchtet,haben
heiß laufen,laufe heiß,läufst heiß,läuft heiß,lief heiß,heiß gelaufen,liefe heiß,laufe heiß,lauft heiß,haben
eislaufen,laufe eis,läufst eis,läuft eis,lief eis,eisgelaufen,liefe eis,lauf eis,lauft eis,sein
lahmlegen,lege lahm,legst lahm,legt lahm,legte lahm,lahmgelegt,legte lahm,leg lahm,legt lahm,haben
stilllegen,lege still,legst still,legt still,legte still,stillgelegt,legte still,leg still,legt still,haben
schürfen,schürfe,schürfst,schürft,schürfte,geschürft,schürfte,schürf,schürft,haben
wohlwollen,will wohl,willst wohl,will wohl,wollte wohl,wohlgewollt,wollte wohl,—,—,haben
touren,toure,tourst,tourt,tourte,getourt,tourte,toure,tourt,haben
abfrühstücken,frühstücke ab,frühstückst ab,frühstückt ab,frühstückte ab,abgefrühstückt,frühstückte ab,frühstücke ab,frühstückt ab,haben
kriminalisieren,kriminalisiere,kriminalisierst,kriminalisiert,kriminalisierte,kriminalisiert,kriminalisierte,kriminalisier,kriminalisiert,haben
durchziehen,ziehe durch,ziehst durch,zieht durch,zog durch,durchgezogen,zöge durch,zieh durch,zieht durch,haben
durchwachsen,—,—,wächst durch,wuchs durch,durchgewachsen,wüchse durch,—,—,sein
durchsagen,sage durch,sagst durch,sagt durch,sagte durch,durchgesagt,sagte durch,sage durch,sagt durch,haben
dressen,dresse,dresst,dresst,dresste,gedresst,dresste,dress,dresst,haben
mitgehen,gehe mit,gehst mit,geht mit,ging mit,mitgegangen,ginge mit,geh mit,geht mit,sein
schütten,schütte,schüttest,schüttet,schüttete,geschüttet,schüttete,schütt,schüttet,haben
eingestehen,gestehe ein,gestehst ein,gesteht ein,gestand ein,eingestanden,gestände ein,gesteh ein,gesteht ein,haben
denominieren,denominiere,denominierst,denominiert,denominierte,denominiert,denominierte,denominiere,denominiert,haben
kappen,kappe,kappst,kappt,kappte,gekappt,kappte,kapp,kappt,haben
entstammen,entstamme,entstammst,entstammt,entstammte,entstammt,entstammte,entstamme,entstammt,sein
auspowern,powere aus,powerst aus,powert aus,powerte aus,ausgepowert,powerte aus,powere aus,powert aus,haben
digitalisieren,digitalisiere,digitalisierst,digitalisiert,digitalisierte,digitalisiert,digitalisierte,digitalisiere,digitalisiert,haben
grillieren,grilliere,grillierst,grilliert,grillierte,grilliert,grillierte,grillier,grilliert,haben
kampieren,kampiere,kampierst,kampiert,kampierte,kampiert,kampierte,kampier,kampiert,haben
notwassern,notwassere,notwasserst,notwassert,notwasserte,notgewassert,notwasserte,notwassere,notwassert,sein
nachstellen,stelle nach,stellst nach,stellt nach,stellte nach,nachgestellt,stellte nach,stell nach,stellt nach,haben
daniederliegen,liege danieder,liegst danieder,liegt danieder,lag danieder,daniedergelegen,läge danieder,lieg danieder,liegt danieder,haben
kaptivieren,kaptiviere,kaptivierst,kaptiviert,kaptivierte,kaptiviert,kaptivierte,kaptivier,kaptiviert,haben
beschweigen,beschweige,beschweigst,beschweigt,beschwieg,beschwiegen,beschwiege,beschweige,beschweigt,haben
biwakieren,biwakiere,biwakierst,biwakiert,biwakierte,biwakiert,biwakierte,biwakiere,biwakiert,haben
regalieren,regaliere,regalierst,regaliert,regalierte,regaliert,regalierte,regaliere,regaliert,haben
brüsten,brüste,brüstest,brüstet,brüstete,gebrüstet,brüstete,brüst,brüstet,haben
lobhudeln,lobhudle,lobhudelst,lobhudelt,lobhudelte,gelobhudelt,lobhudelte,lobhudel,lobhudelt,haben
auslosen,lose aus,lost aus,lost aus,loste aus,ausgelost,loste aus,los aus,lost aus,haben
erleuchten,erleuchte,erleuchtest,erleuchtet,erleuchtete,erleuchtet,erleuchtete,erleuchte,erleuchtet,haben
umwerfen,werfe um,wirfst um,wirft um,warf um,umgeworfen,würfe um,wirf um,werft um,haben
refutieren,refutiere,refutierst,refutiert,refutierte,refutiert,refutierte,refutiere,refutiert,haben
affichieren,affichiere,affichierst,affichiert,affichierte,affichiert,affichierte,affichiere,affichiert,haben
nachtarocken,tarocke nach,tarockst nach,tarockt nach,tarockte nach,nachtarockt,tarockte nach,tarock nach,tarockt nach,haben
staffieren,staffiere,staffierst,staffiert,staffierte,staffiert,staffierte,staffier,staffiert,haben
pulen,pule,pulst,pult,pulte,gepult,pulte,pul,pult,haben
delogarithmieren,delogarithmiere,delogarithmierst,delogarithmiert,delogarithmierte,delogarithmiert,delogarithmierte,delogarithmiere,delogarithmiert,haben
entlogarithmieren,entlogarithmiere,entlogarithmierst,entlogarithmiert,entlogarithmierte,entlogarithmiert,entlogarithmierte,entlogarithmiere,entlogarithmiert,haben
antilogarithmieren,antilogarithmiere,antilogarithmierst,antilogarithmiert,antilogarithmierte,antilogarithmiert,antilogarithmierte,antilogarithmiere,antilogarithmiert,haben
exponenzieren,exponenziere,exponenzierst,exponenziert,exponenzierte,exponenziert,exponenzierte,exponenziere,exponenziert,haben
schlussfolgern,schlussfolgere,schlussfolgerst,schlussfolgert,schlussfolgerte,geschlussfolgert,schlussfolgerte,schlussfolgere,schlussfolgert,haben
spratzen,—,—,spratzt,spratzte,gespratzt,spratzte,—,—,haben
immortalisieren,immortalisiere,immortalisierst,immortalisiert,immortalisierte,immortalisiert,immortalisierte,immortalisier,immortalisiert,haben
interzedieren,interzediere,interzedierst,interzediert,interzedierte,interzediert,interzedierte,interzedier,interzediert,haben
hochhieven,hieve hoch,hievst hoch,hievt hoch,hievte hoch,hochgehievt,hievte hoch,hiev hoch,hievt hoch,haben
subjektivieren,subjektiviere,subjektivierst,subjektiviert,subjektivierte,subjektiviert,subjektivierte,subjektiviere,subjektiviert,haben
subministrieren,subministriere,subministrierst,subministriert,subministrierte,subministriert,subministrierte,subministriere,subministriert,haben
waleien,waleie,waleist,waleit,waleite,gewaleit,waleite,waleie,waleit,haben
residieren,residiere,residierst,residiert,residierte,residiert,residierte,residiere,residiert,haben
handhaben,handhabe,handhabst,handhabt,handhabte,gehandhabt,handhabte,handhabe,handhabt,haben
verkündigen,verkündige,verkündigst,verkündigt,verkündigte,verkündigt,verkündigte,verkündig,verkündigt,haben
submittieren,submittiere,submittierst,submittiert,submittierte,submittiert,submittierte,submittier,submittiert,haben
zerschlagen,zerschlage,zerschlägst,zerschlägt,zerschlug,zerschlagen,zerschlüge,zerschlag,zerschlagt,haben
